title,authors,description,category,averageRating,ratingsCount,thumbnail
A Game of Thrones,George R. R. Martin,Fantasy-roman.,Fiction,4.5,131,http://books.google.com/books/content?id=bIZiAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Invisible Man,"Len Jenkin, Herbert George Wells",,Drama,,,http://books.google.com/books/content?id=SCHqme8AluYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Crime and Punishment,Fyodor Dostoyevsky,Introduction by W. J. Leatherbarrow; Translation by Richard Pevear and Larissa Volokhonsky Copyright © Libri GmbH. All rights reserved.,Fiction,,,http://books.google.com/books/content?id=Z0jilCM-F2MC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Cards on the Table,Agatha Christie,Theatre program.,Fiction,,,http://books.google.com/books/content?id=NGoFudTo7YsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
4.50 from Paddington,Agatha Christie,"Elspeth looked out the train window into the train drawing alongside, and was horrified to see a man strangling a woman. The body crumpled, and then the other train drew away. But no one believed Elspeth's story--except her friend Miss Marple.",Fiction,,,http://books.google.com/books/content?id=6I9HvUVqJ70C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The House at Riverton,Kate Morton,Ninety-eight-year-old Grace Bradley is visited by a young director who takes her back to Riverton House where she reveals the secret behind the death of a young poet in the summer of 1924.,Fiction,3,1,http://books.google.com/books/content?id=9iXsIAND7KQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Murder is Announced,Agatha Christie,"A childish practical joke? Or a hoax intended to scare poor Letitia Blacklock? Unable to resist the mysterious invitation, a crowd begins to gather at Little Paddocks at the appointed time when, without warning, the lights go out...",Fiction,,,http://books.google.com/books/content?id=x9RHJ8_BfpwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Curious Incident of the Dog in the Night-time,Mark Haddon,"YA. Murder mystery. Despite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbour's dog and uncovers secret information about his mother. Whitbread book of the year 2003. WAYRBA list 2005.",Fiction,4.5,5,http://books.google.com/books/content?id=I51aAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Redbreast,Jo Nesbo,"The Redbreast"" is the winner of the Glass Key prize for the best Nordic crimenovel, and has been voted Norways best work of crime fiction.",Fiction,,,http://books.google.com/books/content?id=SPSn4HdxigkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Peculiar Pumpkin Thief,Geronimo Stilton,Geronimo Stilton teams up with Hercule Poirat to determine the identity of the thief who has stolen all the pumpkins in New Mouse City just days before Halloween.,Juvenile Fiction,4.5,3,http://books.google.com/books/content?id=2r8IsOq15hkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
My Name is Red,Orhan Pamuk,"In the late 1590s, the Turkish Sultan secretly commissions an illuminated book: a celebration of his life and his empire. At a time of violent fundamentalism, however, this is a dangerous proposition. Then one of the miniaturists is murdered. The Sultan demands an answer within three days.",Art,,,http://books.google.com/books/content?id=K0NiQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Black Tower,P.D. James,"Adam Dalgliesh responds to an invitation to visit an old family friend, the chaplain at a private home for the disabled in Dorset. On arrival he discovers that his host has died suddenly.",Fiction,,,http://books.google.com/books/content?id=a4eRA77h4WEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
QBD Murder on the Orient Express,Agatha Christie,,,,,
The Shape of Water,Andrea Camilleri,Follows Sicilian detective Inspector Montalbano as he investigates the suspicious death of an engineer who had made a name for himself in a small town.,Fiction,4,1,http://books.google.com/books/content?id=e1BlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
And Then There Were None,Agatha Christie,"One by one, the guests arrived at the mansion on Indian Island, summoned by a mysterious host. And one by one, with terrifying meticulousness, they were stalked by a cunning murderer. Utterly baffling...and yet there was a pattern, concealed in a nursery rhyme hanging over the fireplace.",Fiction,4,43,http://books.google.com/books/content?id=ACMYLqk_7GoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Night Manager,John Le Carré,"Former British intelligence officer Jonathan Pine attempts to infiltrate the entourage of Roper, a sinister and powerful Englishman responsible for fitting together the pieces for a monumental arms-for-cocaine deal. Reprint.",Fiction,3.5,3,http://books.google.com/books/content?id=9CATRvUh3m4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The ABC Murders,Agatha Christie,"When Alice Ascher is murdered in Andover, Hercule Poirot is already onto the clues. Alphabetically speaking, it's one down, 25 to go. This classic mystery is now repackaged in a digest-sized edition for young adults. Reissue.","Detective and mystery stories, English",,,http://books.google.com/books/content?id=BKjCQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Blessed Are Those Who Thirst,Anne Holt,Criminal investigating officer Hanne Wilhelmsen considers the possibility of a serial killer as she tracks down a series of numbers written in blood appearing on walls all over Oslo.,Fiction,,,http://books.google.com/books/content?id=KWW_JuNf3PUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Evil Under the Sun,Agatha Christie,"The Queen of Mystery has come to Harper Collins! Agatha Christie, the acknowledged mistress of suspense—creator of indomitable sleuth Miss Marple, meticulous Belgian detective Hercule Poirot, and so many other unforgettable characters—brings her entire oeuvre of ingenious whodunits, locked room mysteries, and perplexing puzzles to Harper Paperbacks. The classic Evil Under the Sun, one of the most famous of Christie’s Poirot investigations, has the fastidious sleuth on the trail of the killer of a sun-bronzed beauty whose death brings some rather shocking secrets into the light.",Fiction,,,http://books.google.com/books/content?id=JzqaAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Golden Ball and Other Stories,Agatha Christie,"A sterling collection of short stories featuring Poirot and others, The Golden Ball and Other Stories is a riveting compendium of shocking secrets, dastardly crimes, and brilliant detection?a showcase of Dame Agatha at her very best.",Fiction,,,http://books.google.com/books/content?id=ZOMOe5CIPu8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Surgeon,Tess Gerritsen,"Dr. Catherine Cordell investigates when a murderer referred to by the press and the public as ""The Surgeon"" strikes with a precision that suggests he is a deranged man of medicine.",Fiction,,,http://books.google.com/books/content?id=s5ulrjc71nIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Da Vinci Code,Dan Brown,"Harvard professor Robert Langdon receives an urgent late-night phone call while on business in Paris: the elderly curator of the Louvre, Jacques Sauni're, has been brutally murdered inside the museum. Alongside the body, police have found a series of baffling codes. As Langdon and a gifted French cryptologist, Sophie Neveu, begin to sort through the bizarre riddles, they are stunned to find a trail that leads to the works of Leonardo Da Vinci - and suggests the answer to a mystery that stretches deep into the vault of history. Langdon suspects the late curator was involved in the Priory of Sion - a centuries old secret society - and has sacrificed his life to protect the Priory's most sacred trust: the location of a vastly important religious relic hidden for centuries. But it now appears that Opus Dei, a clandestine sect that has long plotted to seize the Prirory's secret, has now made its move. Unless Langdon and Neveu can decipher the labyrinthine code and quickly assemble the pieces of the puzzle, the Priory's secret - and a stunning historical truth - will be lost forever. Breaking the mould of traditional suspense novels, The DA VINCI CODE is simultaneously lightning-paced, intelligent and intricately layered with remarkable research and detail. And in this exclusive edition Dan Brown allows the reader behind the scenes of the novel which now incorporates over 150 photographs and illustrations throughout the text showing the rich historical tapestry from which he drew his inspiration. The visual sources which provide both the backdrop and the stimulus for the novel's action are revealed for the first time and uniquely complement the reading experience.",Art museum curators,5,2,http://books.google.com/books/content?id=A-AS46wG0p8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Mirror Crack'd from Side to Side,Agatha Christie,Miss Marple.,Fiction,5,1,http://books.google.com/books/content?id=bnpOAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
